TDL2048-Demo
alpha = 0.1
total = 5000000
seed = 2689549431
6-tuple pattern 012345, size = 16777216 (64MB)
6-tuple pattern 456789, size = 16777216 (64MB)
6-tuple pattern 012456, size = 16777216 (64MB)
6-tuple pattern 45689a, size = 16777216 (64MB)
1000	mean = 7727.33	max = 26968
	256	0.3%	(99.9%)
	512	4.4%	(99.6%)
	1024	22.9%	(95.2%)
	2048	55.3%	(72.3%)
	4096	16.5%	(17%)
	8192	0.5%	(0.5%)
31000	mean = 37609.8	max = 119912
	256	0.2%	(100%)
	512	3%	(99.8%)
	1024	22.7%	(96.8%)
	2048	53.5%	(74.1%)
	4096	20.1%	(20.6%)
	8192	0.5%	(0.5%)
32000	mean = 38782.6	max = 136324
	64	0.1%	(100%)
	128	0.1%	(99.9%)
	256	0.5%	(99.8%)
	512	2.9%	(99.3%)
	1024	22.3%	(96.4%)
	2048	50.7%	(74.1%)
	4096	22.8%	(23.4%)
	8192	0.6%	(0.6%)
33000	mean = 38009.6	max = 106368
	256	0.2%	(100%)
	512	4%	(99.8%)
	1024	21.2%	(95.8%)
	2048	52.3%	(74.6%)
	4096	22%	(22.3%)
	8192	0.3%	(0.3%)
34000	mean = 39739.1	max = 123132
	128	0.1%	(100%)
	512	2.7%	(99.9%)
	1024	20.9%	(97.2%)
	2048	52.1%	(76.3%)
	4096	23.7%	(24.2%)
	8192	0.5%	(0.5%)
35000	mean = 40166.7	max = 120772
	256	0.5%	(100%)
	512	3.9%	(99.5%)
	1024	19.2%	(95.6%)
	2048	49.4%	(76.4%)
	4096	26.5%	(27%)
	8192	0.5%	(0.5%)
36000	mean = 41263	max = 118928
	256	0.2%	(100%)
	512	3.8%	(99.8%)
	1024	18.4%	(96%)
	2048	49.2%	(77.6%)
	4096	27.8%	(28.4%)
	8192	0.6%	(0.6%)
37000	mean = 41245	max = 137752
	256	0.2%	(100%)
	512	2.3%	(99.8%)
	1024	18.5%	(97.5%)
	2048	52.3%	(79%)
	4096	25.6%	(26.7%)
	8192	1.1%	(1.1%)
38000	mean = 41871.6	max = 144692
	128	0.1%	(100%)
	256	0.4%	(99.9%)
	512	3.7%	(99.5%)
	1024	17.5%	(95.8%)
	2048	47.7%	(78.3%)
	4096	29.3%	(30.6%)
	8192	1.3%	(1.3%)
39000	mean = 41717.5	max = 126472
	256	0.3%	(100%)
	512	2.9%	(99.7%)
	1024	16.7%	(96.8%)
	2048	52%	(80.1%)
	4096	27.5%	(28.1%)
	8192	0.6%	(0.6%)
40000	mean = 42055.2	max = 123244
	256	0.3%	(100%)
	512	4.3%	(99.7%)
	1024	17.7%	(95.4%)
	2048	46.7%	(77.7%)
	4096	30.6%	(31%)
	8192	0.4%	(0.4%)
41000	mean = 42909.4	max = 123192
	128	0.1%	(100%)
	256	0.1%	(99.9%)
	512	2.6%	(99.8%)
	1024	16.6%	(97.2%)
	2048	49.6%	(80.6%)
	4096	30.7%	(31%)
	8192	0.3%	(0.3%)
42000	mean = 44432.9	max = 131692
	256	0.1%	(100%)
	512	3.2%	(99.9%)
	1024	15.6%	(96.7%)
	2048	45.2%	(81.1%)
	4096	34.4%	(35.9%)
	8192	1.5%	(1.5%)
43000	mean = 44016.9	max = 133680
	256	0.3%	(100%)
	512	2.9%	(99.7%)
	1024	15.3%	(96.8%)
	2048	47.7%	(81.5%)
	4096	32.7%	(33.8%)
	8192	1.1%	(1.1%)
44000	mean = 44306.3	max = 128968
	256	0.2%	(100%)
	512	2.3%	(99.8%)
	1024	17.1%	(97.5%)
	2048	45.3%	(80.4%)
	4096	33.6%	(35.1%)
	8192	1.5%	(1.5%)
45000	mean = 45043.5	max = 148664
	256	0.2%	(100%)
	512	3.2%	(99.8%)
	1024	15.5%	(96.6%)
	2048	44.9%	(81.1%)
	4096	34.5%	(36.2%)
	8192	1.7%	(1.7%)
46000	mean = 45586.1	max = 136992
	256	0.3%	(100%)
